LinkedIn_news_id (by day),LinkedIn_avg_popularity (by day)
938,6.5
939,0.0
940,-0.5
942,1850.5
943,816.5
944,960.0
945,-1.5
948,15247.0
949,0.0
950,-6.0
958,-6.0
959,0.0
960,5617.0
961,154.5
970,-4.5
971,233.5
976,-1.0
981,916.5
987,-1.5
988,121.5
999,-0.5
1000,-1.5
1003,245.5
1004,2467.0
1005,2794.5
1006,0.0
1013,123.0
1022,46.0
1023,-0.5
1024,56.5
1028,-9.0
1029,4954.5
1031,-1.5
1038,-12.0
1042,1190.5
1043,-0.5
1046,-1.0
1047,0.0
1048,-13.5
1055,-59.0
1056,-7.5
1060,0.0
1061,45.0
1067,-0.5
1068,4641.0
1075,-12.0
1078,0.0
1079,4530.0
1080,-1.5
1081,-4.5
1082,794.5
1083,70.0
1084,229.5
1087,466.5
1088,-13.5
1089,61.0
1095,210.0
1096,6649.5
1097,-1.5
1098,-2.0
1099,-1.5
1100,0.0
1104,-1.0
1111,3758.0
1114,-16.0
1115,335.5
1116,381.0
1121,502.0
1123,-9.0
1124,-1.5
1125,66.0
1126,-1.0
1127,-7.5
1128,166.0
1129,-6.0
1139,687.5
1142,-4.5
1144,1785.5
1145,6708.5
1146,0.0
1148,70.5
1151,8114.5
1152,-4.5
1153,19.0
1154,-6.0
1155,660.5
1156,469.0
1157,139.5
1159,-1.5
1160,0.0
1162,28943.5
1164,422.5
1167,-12.5
1168,734.0
1169,136.0
1170,-12.0
1174,-0.5
1175,-21.0
1179,-1.5
1180,-4.5
1182,14381.0
1184,-1.5
1185,-0.5
1186,125.5
1188,-12.0
1189,-0.5
1190,-12.0
1194,-9.0
1195,51.0
1198,-0.5
1201,141.0
1203,-2.0
1204,-12.0
1206,-0.5
1207,-10.5
1210,-18.0
1212,17.0
1213,453.5
1217,282.0
1223,-1.0
1224,213.0
1226,-0.5
1227,-9.0
1228,91.0
1230,4679.5
1231,-7.5
1232,0.0
1233,832.0
1234,-12.0
1235,171.0
1236,1786.5
1237,-1.0
1238,-1.0
1239,-1.5
1241,70.0
1243,-19.0
1249,-3.0
1251,61.5
1252,39.5
1253,-15.0
1254,220.5
1255,-28.5
1256,-14.5
1257,-12.0
1258,-1.0
1260,-12.0
1263,-1.5
1264,10213.5
1265,-1.0
1267,0.0
1268,-10.5
1273,3049.0
1274,0.0
1276,-12.0
1280,-12.0
1283,-12.0
1284,-12.0
1285,42.5
1297,30.5
1298,-0.5
1301,508.5
1302,955.0
1303,-0.5
1304,-12.0
1306,-12.0
1307,-12.0
1309,-0.5
1310,-1.0
1312,1061.0
1313,-1.5
1314,-1.5
1315,615.0
1316,-0.5
1317,152.0
1320,-12.0
1322,0.0
1323,3386.0
1327,0.0
1328,-3.0
1329,109.5
1331,-12.0
1332,0.0
1333,-40.0
1335,6294.0
1336,-1.5
1340,297.5
1341,29273.0
1346,318.5
1349,-1.0
1350,-1.5
1352,-12.5
1356,681.0
1358,-12.0
1359,-12.0
1360,-1.5
1361,0.0
1362,198.5
1366,-1.0
1367,-3.0
1368,0.0
1369,387.5
1370,-1.5
1371,-1.5
1372,70.5
1375,-12.0
1376,60.0
1379,636.5
1380,-12.0
1381,-12.0
1382,-12.0
1386,-0.5
1387,-1.0
1388,70.0
1390,2168.0
1395,125.5
1397,2120.0
1398,-0.5
1399,-1.0
1400,-1.5
1401,-1.5
1402,5722.5
1403,-1.0
1404,162.0
1405,-3.0
1406,1758.0
1408,-12.0
1410,2800.5
1411,0.0
1412,54.0
1413,-72.0
1414,-42.5
1415,-12.0
1416,-12.0
1419,-0.5
1420,-1.5
1421,-0.5
1422,-0.5
1423,-0.5
1424,34.0
1428,-1.0
1431,-9.0
1437,0.0
1438,-1.5
1440,-12.0
1442,161.0
1443,6256.0
1447,-0.5
1448,-1.5
1449,2284.5
1452,105.0
1453,128.5
1454,71.0
1457,266.0
1458,-65.5
1460,624.5
1461,-3.0
1462,-6.0
1464,-4.5
1465,521.0
1469,-1.5
1470,2438.5
1472,378.5
1473,500.0
1474,-0.5
1475,-6.0
1476,-3.0
1477,-3.0
1478,-7.5
1481,69.0
1483,-3.0
1484,28.5
1485,26.0
1488,-12.0
1489,-12.0
1490,-12.0
1494,-12.0
1496,0.0
1497,-1.0
1498,-9.0
1500,-12.5
1501,-12.0
1503,122.0
1504,-0.5
1505,132.0
1506,0.0
1508,47.0
1509,-12.0
1512,-1.5
1513,50.5
1514,-3.0
1515,93.0
1516,-7.5
1518,-14.0
1523,-16.5
1524,-55.5
1525,516.5
1526,-1.5
1528,475.0
1529,-1.0
1530,-56.5
1532,-12.0
1533,46.5
1534,-1.5
1535,-22.5
1536,-19.5
1537,-1.0
1541,308.5
1544,69.0
1545,-1.5
1546,-19.0
1548,-12.5
1549,159.0
1550,-12.5
1551,211.0
1553,420.5
1555,-1.5
1557,0.0
1558,0.0
1559,332.0
1560,-1.0
1561,818.0
1562,-12.0
1563,-9.0
1564,652.0
1565,-1.0
1566,0.0
1567,-6.0
1570,-12.0
1572,-21.0
1574,371.5
1575,98.5
1576,-23.5
1583,-1.5
1584,283.5
1589,892.0
1590,-1.5
1592,-12.0
1593,-12.0
1594,-12.0
1596,249.5
1598,1538.0
1599,0.0
1600,757.5
1601,2665.0
1602,-3.0
1603,-3.0
1605,-12.0
1606,-12.0
1607,-12.5
1610,0.0
1612,207.0
1613,-9.0
1614,-1.0
1615,-9.0
1617,-12.0
1618,-15.0
1619,-0.5
1620,-3.0
1623,46.0
1624,-12.5
1625,-12.0
1626,270.5
1627,-1.5
1628,0.0
1629,-12.0
1630,-12.0
1632,579.0
1633,-0.5
1634,-0.5
1635,-12.0
1636,-12.0
1637,-12.0
1639,71.0
1641,-12.0
1642,-12.0
1643,-12.0
1645,-4.5
1646,0.0
1647,178.5
1648,66.0
1649,-15.5
1650,-4.5
1651,1965.0
1652,-1.5
1653,-0.5
1655,-12.0
1656,-17.0
1658,1447.5
1659,-4.5
1660,-21.0
1661,298.5
1662,68.0
1663,-1.5
1664,62.0
1668,-12.5
1669,57.0
1670,-1.5
1671,-1.0
1672,54.0
1673,519.0
1674,68.5
1678,-12.0
1679,1170.0
1680,146.0
1681,34.5
1682,1477.0
1683,-1.5
1684,69.0
1685,755.5
1686,29.0
1687,-1.0
1688,-13.5
1689,623.5
1690,3207.5
1691,60.0
1692,-0.5
1693,-12.0
1694,-12.5
1696,-0.5
1697,-14.0
1698,44.0
1699,-3.5
1703,-3.0
1704,1661.0
1705,-1.5
1706,3056.0
1707,-1.5
1712,-1.5
1713,136.5
1714,0.0
1718,-12.0
1719,732.5
1720,-12.0
1721,-12.0
1722,-1.0
1725,-1.0
1726,-0.5
1727,0.0
1729,-12.5
1730,2552.0
1731,-1.5
1732,-0.5
1733,54.5
1737,-12.5
1739,-34.5
1740,0.0
1741,-1.5
1743,-0.5
1746,-57.5
1748,-12.0
1749,-0.5
1750,-12.0
1751,-3.0
1752,-22.5
1758,-28.5
1759,122.0
1761,-12.0
1763,-0.5
1766,-12.0
1768,-3.0
1769,-3.0
1770,71.0
1771,-3.0
1772,3243.5
1773,2217.5
1774,-0.5
1781,-1.0
1782,41.0
1783,-1.0
1784,-24.0
1785,-1.5
1786,-0.5
1787,-1.0
1788,1363.0
1789,-1.5
1791,-12.5
1792,-12.5
1796,-1.0
1797,391.5
1799,-10.5
1800,381.5
1801,-1.5
1802,253.5
1805,0.0
1809,-1.5
1813,462.0
1814,2613.0
1819,-18.0
1823,-10.5
1826,66.5
1827,126.0
1828,181.5
1829,0.0
1830,-1.0
1831,-6.0
1833,-18.0
1834,-13.5
1840,-18.0
1843,-1.0
1844,-24.0
1845,982.5
1849,-21.0
1850,66.0
1851,72.0
1852,-1.5
1854,-12.0
1858,54.0
1859,-3.0
1862,126.0
1863,219.5
1867,-21.0
1871,492.5
1872,-21.0
1873,-1.0
1875,-12.0
1876,0.0
1877,117.0
1881,-21.0
1882,1184.5
1883,-12.5
1884,210.0
1885,47.5
1887,-18.0
1889,-1.5
1891,-1.5
1897,-1.5
1899,182.5
1902,5778.0
1903,171.0
1904,-22.5
1906,-12.0
1908,70.5
1911,126.5
1912,-0.5
1917,-1.0
1920,-12.0
1921,-3.0
1924,-9.0
1927,-66.5
1930,0.0
1932,-30.0
1933,70.0
1936,-71.0
1938,-71.5
1941,-4.5
1942,-0.5
1944,127.5
1945,4070.0
1946,11.0
1947,-37.5
1948,-3.0
1951,36.0
1954,-1.5
1955,3257.0
1957,-1.5
1959,-22.5
1960,-44.0
1961,-4.5
1962,-1.5
1963,-44.5
1964,-44.5
1965,20.0
1966,331.5
1967,-1.5
1968,-0.5
1969,-1.5
1970,-68.0
1972,-19.5
1973,102.0
1974,-12.0
1976,-12.0
1977,-1.5
1978,-1.0
1980,-6.0
1981,-13.5
1982,-1.5
1983,-0.5
1985,676.5
1988,1733.5
1989,-19.5
1990,-53.5
1991,0.0
1992,-9.0
1993,-9.0
1996,37.5
1999,219.0
2001,0.0
2002,44.0
2003,256.5
2004,0.0
2005,138.0
2006,-1.0
2008,-0.5
2011,-12.0
2013,176.5
2014,50.5
2015,1779.5
2016,43.0
2017,-0.5
2018,591.5
2019,-1.5
2020,393.0
2021,11.0
2024,-12.0
2025,-9.0
2026,-0.5
2027,312.5
2029,-72.0
2032,277.5
2033,-0.5
2035,-0.5
2036,131.0
2041,-0.5
2043,-0.5
2044,-62.0
2046,0.0
2049,98.5
2050,-1.5
2051,-7.5
2052,1379.5
2053,-4.5
2055,-72.0
2057,-7.5
2058,-12.0
2061,-72.0
2064,-1.5
2065,-3.0
2067,69.0
2068,0.0
2069,425.0
2070,130.5
2071,-6.0
2074,0.0
2075,18.0
2076,517.0
2078,139.5
2079,-1.0
2080,0.0
2081,950.5
2083,135.5
2084,0.0
2086,16.5
2088,2433.0
2089,10387.0
2090,-12.0
2091,-12.0
2092,69.5
2093,-3.0
2094,-0.5
2095,-12.5
2096,-12.0
2098,416.5
2099,332.5
2100,-12.0
2101,-12.0
2102,0.0
2103,119.5
2104,-0.5
2106,-38.0
2108,137.0
2109,722.5
2112,-0.5
2113,-15.0
2116,-12.5
2117,-12.5
2118,-1.5
2119,-3.0
2121,-15.0
2122,3.5
2123,830.5
2124,-1.0
2128,242.0
2129,-12.0
2130,107.5
2131,0.0
2132,206.0
2134,289.5
2135,53.5
2138,1694.5
2139,11493.5
2140,0.0
2143,-6.0
2145,-0.5
2146,-12.0
2147,-3.0
2148,0.0
2149,-12.0
2151,-12.5
2152,-6.0
2153,-1.5
2160,-34.5
2162,-1.5
2163,-1.5
2164,470.5
2165,-1.0
2169,130.0
2170,59.5
2172,2025.0
2173,1118.0
2174,-21.0
2175,-18.5
2179,-0.5
2180,-1.0
2181,-1.5
2182,-9.0
2186,-20.5
2188,-1.5
2189,0.0
2190,234.0
2191,445.0
2193,0.0
2196,-15.5
2197,111.5
2198,574.0
2199,-3.0
2202,-18.0
2203,-12.0
2204,-0.5
2205,69.0
2206,-12.0
2207,529.0
2208,-9.0
2209,0.0
2210,-1.5
2211,5817.0
2212,0.0
2214,-12.0
2215,-12.0
2217,535.5
2220,-24.0
2221,-1.5
2222,-22.5
2223,-1.0
2229,2477.0
2230,489.5
2232,47.0
2233,-12.5
2234,45.0
2235,-1.5
2239,1953.0
2240,-0.5
2241,-16.5
2243,-12.0
2244,809.5
2252,1071.5
2253,-1.0
2256,-12.0
2259,4555.0
2261,1449.0
2262,544.5
2267,69.0
2268,1638.0
2269,219.5
2270,178.5
2274,-1.5
2275,2012.5
2278,920.0
2279,4533.0
2282,0.0
2283,0.0
2284,-16.5
2285,-0.5
2286,4149.0
2287,84.5
2290,-6.0
2294,-12.0
2300,-0.5
2301,-0.5
2302,325.5
2303,89.0
2307,1788.0
2310,-1.0
2315,754.5
2319,483.0
2320,524.0
2321,36375.5
2324,-12.0
2325,-6.0
2326,-1.5
2327,-0.5
2328,-3.0
2331,324.5
2333,625.0
2334,65.0
2338,1221.5
2340,1501.5
2341,-1.0
2343,292.0
2344,2870.0
2345,12.0
2346,799.0
2350,-13.0
2352,22113.5
2353,71.0
2356,-1.0
2357,139.5
2358,198.5
2359,522.0
2363,2043.0
2364,57.0
2366,243.0
2371,40.0
2373,19222.0
2374,-3.0
2375,-6.0
2377,161.5
2378,1692.0
2379,-4.5
2384,-12.0
2385,872.5
2386,61.5
2387,108.0
2388,-1.5
2390,-12.5
2392,-1.0
2393,-1.5
2395,333.5
2396,-1.5
2399,44.5
2400,-12.5
2402,-1.0
2404,-0.5
2405,-0.5
2410,-0.5
2411,-1.5
2412,-9.0
2413,72.0
2418,5.5
2419,-3.0
2421,42.0
2422,-12.0
2427,3100.0
2428,-10.5
2429,3890.5
2432,-12.5
2433,-13.5
2434,-19.5
2435,533.0
2436,-30.0
2439,-12.0
2440,-1.5
2441,-1.0
2442,179.0
2449,-0.5
2450,-1.5
2453,-1.5
2454,-1.0
2455,0.0
2459,-12.0
2460,-12.0
2461,6815.0
2462,-0.5
2465,70.0
2466,-0.5
2469,-12.5
2470,-4.5
2471,1371.0
2472,432.5
2473,37.5
2477,1570.0
2478,0.0
2479,-1.0
2480,-12.0
2481,-12.0
2482,-12.0
2484,-5.0
2485,163.5
2488,-12.0
2489,392.5
2493,-1.5
2494,101.5
2496,186.5
2497,0.0
2498,-6.0
2499,126.0
2500,230.5
2504,-0.5
2506,-19.0
2507,-17.0
2508,159.0
2509,-1.0
2510,-1.0
2514,-12.0
2515,-12.0
2516,-4.5
2519,0.0
2520,-0.5
2521,-7.5
2523,1612.0
2524,-1.5
2525,-21.0
2526,-47.5
2533,88.0
2534,-1.5
2535,-1.5
2536,-12.0
2538,201.0
2539,-3.0
2540,112.5
2542,-0.5
2547,-3.0
2548,404.0
2549,0.0
2550,-16.5
2551,-4.5
2554,-12.0
2556,8808.0
2558,-0.5
2559,-0.5
2561,-12.0
2562,1218.5
2563,-1.5
2564,-34.0
2567,605.5
2569,538.5
2570,-0.5
2575,-4.5
2576,-4.5
2577,-0.5
2578,2406.0
2579,-24.0
2581,-17.5
2582,-0.5
2586,0.0
2587,-1.5
2588,146.5
2589,0.0
2591,-1.0
2596,0.0
2597,-0.5
2600,45.0
2601,-1.5
2605,-1.0
2606,-13.5
2607,0.0
2608,594.0
2609,-21.0
2610,-31.5
2611,-60.0
2612,27.5
2613,-15.0
2614,70.5
2615,-27.0
2618,94.5
2620,8169.5
2623,754.5
2624,-21.0
2625,68.5
2630,-1.5
2631,-1.5
2632,-6.0
2633,27.0
2635,363.5
2636,-10.5
2637,0.0
2638,4592.5
2639,-0.5
2641,39.5
2642,-1.5
2643,210.0
2644,803.0
2649,-12.0
2651,-1.5
2652,-0.5
2653,810.0
2655,-12.0
2658,-1.0
2661,-13.0
2662,-1.5
2663,-1.5
2666,2860.5
2667,0.0
2668,-1.0
2669,69.5
2670,4671.5
2671,-4.5
2673,-12.5
2675,-3.0
2676,-3.0
2677,-3.0
2678,-4.5
2682,350.0
2683,410.5
2684,-1.5
2685,-4.5
2686,-0.5
2687,713.0
2688,69.0
2689,-1.0
2697,40.0
2699,109.0
2700,-4.5
2702,-1.5
2703,-1.0
2704,95.0
2705,-63.0
2709,-71.0
2710,-0.5
2711,-18.0
2714,939.5
2715,70.0
2716,-1.0
2721,65.0
2722,-0.5
2724,43.0
2725,-1.5
2726,0.0
2727,-9.0
2730,-0.5
2731,-0.5
2738,-12.0
2739,-1.0
2741,-0.5
2746,-4.5
2747,-1.5
2749,802.0
2750,-1.5
2752,-1.5
2754,345.5
2755,89.5
2756,375.5
2757,-0.5
2758,-1.5
2759,-0.5
2760,91.0
2764,-13.5
2766,-54.5
2767,551.0
2768,-4.5
2769,-1.5
2771,-18.0
2772,0.0
2775,-1.0
2776,55.0
2777,0.0
2778,-1.0
2779,-1.5
2781,-1.0
2782,38.5
2783,0.0
2785,-0.5
2788,-1.5
2789,-7.5
2790,333.0
2791,-15.0
2792,-28.5
2793,218.0
2794,-6.0
2795,17.0
2796,754.5
2798,-12.5
2799,985.5
2800,1374.5
2801,-0.5
2802,621.5
2803,-1.5
2804,224.0
2805,-9.0
2808,286.5
2810,-0.5
2811,551.0
2812,272.5
2813,281.5
2814,2470.5
2815,0.0
2816,-1.0
2817,-9.0
2818,-0.5
2819,853.5
2820,-12.0
2821,-3.0
2822,-18.0
2823,-20.5
2829,273.0
2830,-12.0
2831,-69.0
2832,71.0
2834,-12.0
2835,-9.0
2836,1658.5
2837,-1.5
2838,-1.5
2839,0.0
2840,71.0
2841,193.0
2842,93.0
2844,-1.5
2845,-3.0
2846,1756.5
2849,127.0
2850,495.5
2851,161.0
2852,-1.5
2853,-7.5
2854,6271.5
2855,815.5
2856,-1.5
2858,257.5
2859,-1.5
2860,0.0
2862,-3.0
2863,442.5
2864,0.0
2865,226.5
2866,9563.5
2868,88.0
2869,-1.5
2870,-3.0
2872,-20.0
2873,10899.0
2877,-3.0
2878,-1.0
2879,-1.0
2882,-0.5
2883,-1.5
2884,0.0
2887,308.0
2890,-1.5
2891,0.0
2892,-59.5
2893,396.0
2898,1060.5
2905,578.0
2906,-4.5
2907,0.0
2908,-1.5
2909,-1.5
2919,-12.0
2922,-14.0
2923,-33.0
2928,1061.0
2932,305.0
2933,-0.5
2934,8939.5
2938,-0.5
2939,-4.5
2942,-4.5
2945,-72.0
2947,400.5
2949,-1.5
2950,735.0
2951,-9.0
2954,-14.0
2960,114.5
2961,577.0
2965,-1.5
2966,-12.0
2971,1056.5
2972,-1.5
2973,-12.0
2974,-9.0
2975,-65.0
2979,403.5
2983,-1.0
2984,-3.0
2985,3024.5
2986,597.0
2987,-1.5
2990,1792.5
2991,204.5
2993,-23.0
2994,283.0
2995,-18.0
2997,-12.0
2998,-6.0
3003,-1.5
3010,-9.0
3011,-1.5
3012,0.0
3014,-12.0
3017,63.5
3019,2665.5
3020,174.0
3023,-18.0
3024,0.0
3027,-12.0
3028,220.5
3029,-0.5
3030,0.0
3032,900.0
3033,-12.0
3034,-13.5
3035,2034.0
3036,868.5
3040,0.0
3042,-0.5
3046,326.0
3047,635.5
3048,51.0
3049,-10.5
3050,-12.5
3051,-4.5
3052,-12.0
3053,-12.0
3060,-1.5
3064,184.0
3065,-0.5
3066,2859.0
3067,127.5
3069,-0.5
3072,-12.0
3073,177.0
3074,-12.0
3075,-1.0
3076,-12.0
3077,79.0
3078,70.0
3079,-0.5
3080,386.0
3081,-0.5
3084,-20.5
3085,-12.0
3086,0.0
3087,-18.5
3088,-13.5
3089,620.0
3090,-31.5
3094,-1.5
3095,118.5
3096,64.0
3097,-1.5
3098,-7.5
3100,1473.0
3104,-1.5
3105,56.5
3108,247.5
3109,-3.0
3114,-0.5
3115,47.0
3116,87.0
3117,1595.0
3118,-7.5
3124,-17.0
3125,-12.0
3127,66.5
3128,-1.0
3129,-12.0
3130,-3.0
3131,-4.5
3135,-12.5
3136,-1.5
3139,-12.0
3140,44.5
3142,69.0
3143,-1.5
3144,-0.5
3145,254.0
3146,-1.5
3152,54.0
3153,313.0
3154,-1.5
3155,4395.0
3158,849.0
3159,-3.0
3162,236.0
3166,-1.0
3167,180.0
3172,-12.0
3173,-12.5
3174,-13.5
3180,978.0
3181,-9.0
3182,-1.5
3185,-3.0
3186,753.0
3188,1636.5
3189,-1.5
3190,163.0
3191,609.5
3195,-12.0
3196,-15.5
3197,1012.0
3198,137.5
3199,522.0
3203,56.0
3204,1814.5
3207,0.0
3208,6385.0
3209,-6.0
3210,0.0
3211,-1.0
3216,10.5
3217,67.0
3218,453.0
3223,-1.0
3224,86.0
3225,63.0
3230,99.0
3231,198.0
3234,2252.5
3235,74.5
3236,0.0
3237,1347.5
3238,-12.5
3239,-1.5
3240,67.5
3243,-12.0
3244,-12.5
3245,0.0
3246,-1.5
3249,-14.0
3250,130.5
3251,979.0
3252,1717.5
3253,4484.0
3254,-1.5
3255,-4.5
3256,-3.0
3257,-9.0
3259,-1.5
3260,-3.0
3261,0.0
3262,781.0
3263,-1.0
3266,2233.5
3267,-12.0
3270,334.0
3271,2729.5
3272,289.5
3273,-1.5
3274,-1.5
3276,-4.5
3279,-3.0
3280,-6.0
3281,-1.0
3284,69.0
3285,48.0
3286,-10.5
3287,-17.0
3288,-10.5
3292,95.0
3293,228.5
3295,277.5
3296,0.0
3297,-9.0
3299,71.0
3300,-12.0
3301,671.0
3302,0.0
3303,121.0
3305,154.0
3306,204.0
3309,3125.5
3310,-0.5
3311,405.5
3312,-0.5
3313,-16.5
3314,-21.0
3315,-9.0
3319,-1.5
3320,-1.5
3321,-3.0
3322,-1.5
3325,116.0
3327,-18.0
3328,125.5
3329,1181.5
3330,245.5
3331,-12.5
3332,970.5
3334,936.0
3335,0.0
3336,-1.5
3338,-6.0
3339,-1.0
3340,0.0
3342,94.0
3343,-54.0
3347,114.5
3349,-3.0
3350,-12.0
3352,163.5
3353,-1.0
3354,-0.5
3357,536.5
3359,-12.5
3360,729.5
3368,-4.5
3370,-0.5
3371,0.0
3372,47.5
3374,-12.0
3375,0.0
3376,353.5
3378,-12.0
3379,614.0
3380,-12.0
3383,-0.5
3384,-0.5
3385,-1.0
3389,-12.0
3390,-12.0
3391,0.0
3392,397.5
3394,297.0
3395,24.0
3396,-1.5
3397,316.5
3398,-21.0
3400,-1.0
3401,-13.5
3402,580.0
3403,366.5
3406,-19.5
3409,130.5
3410,-12.0
3413,-12.0
3414,94.5
3415,-0.5
3419,-4.5
3420,-9.0
3424,3187.5
3425,-1.0
3426,-15.0
3432,-18.0
3437,71.0
3438,71.0
3439,-1.5
3443,-1.0
3446,-17.0
3453,-12.0
3456,-0.5
3457,-6.0
3458,-1.5
3459,97.5
3464,-12.5
3465,1669.0
3466,-12.0
3468,61.5
3469,-3.0
3476,-1.5
3477,244.0
3478,-1.5
3484,141.5
3485,0.0
3488,1130.5
3489,112.5
3491,2142.0
3492,-6.0
3493,1735.5
3496,-12.0
3498,440.0
3499,-7.5
3500,0.0
3501,0.0
3503,487.0
3505,-0.5
3506,148.0
3507,0.0
3508,345.0
3513,-18.0
3514,-12.0
3516,0.0
3517,0.0
3521,-12.0
3522,-12.0
3523,-12.0
3525,-1.0
3526,-4.5
3527,-4.5
3529,23.0
3530,-0.5
3533,-1.5
3539,103.0
3541,69.0
3542,-3.0
3543,391.0
3546,2020.0
3548,-1.5
3549,-9.0
3552,346.5
3553,-3.0
3554,0.0
3561,-21.5
3562,-6.0
3566,-3.0
3567,-1.5
3568,316.5
3569,182.0
3573,358.5
3575,408.5
3577,6025.5
3578,0.0
3581,-0.5
3582,-1.0
3583,-1.0
3584,-1.5
3585,117.0
3586,23.0
3587,-3.0
3588,-1.5
3592,-1.5
3593,2697.5
3597,-1.5
3598,-1.5
3600,566.0
3601,-9.0
3602,-1.0
3605,-1.0
3606,-1.5
3607,-3.0
